Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,is_ai_related
A critique of software defect prediction models,N. E. Fenton; M. Neil,"Centre for Software Reliability, London, UK; Centre for Software Reliability, London, UK",IEEE Transactions on Software Engineering,6 Aug 2002,1999,25,5,675,689,"Many organizations want to predict the number of defects (faults) in software systems, before they are deployed, to gauge the likely delivered quality and maintenance effort. To help in this numerous software metrics and statistical models have been developed, with a correspondingly large literature. We provide a critical review of this literature and the state-of-the-art. Most of the wide range of prediction models use size and complexity metrics to predict defects. Others are based on testing data, the ""quality"" of the development process, or take a multivariate approach. The authors of the models have often made heroic contributions to a subject otherwise bereft of empirical studies. However, there are a number of serious theoretical and practical problems in many studies. The models are weak because of their inability to cope with the, as yet, unknown relationship between defects and failures. There are fundamental statistical and data quality problems that undermine model validity. More significantly many prediction models tend to model only part of the underlying problem and seriously misspecify it. To illustrate these points the Goldilock's Conjecture, that there is an optimum module size, is used to show the considerable problems inherent in current defect prediction approaches. Careful and considered analysis of past and new results shows that the conjecture lacks support and that some models are misleading. We recommend holistic models for software defect prediction, using Bayesian belief networks, as alternative approaches to the single-issue models used at present. We also argue for research into a theory of ""software decomposition"" in order to test hypotheses about defect introduction and help construct a better science of software engineering.",1939-3520,,10.1109/32.815326,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=815326,,Predictive models;Bayesian methods;Software quality;Computer Society;System testing;Process design;Software maintenance;Software systems;Software metrics;Software testing,,694,15,,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
On the statistical analysis of the number of errors remaining in a software design document after inspection,N. B. Ebrahimi,"Division of Statistics, Northern Illinois University, DeKalb, IL, USA",IEEE Transactions on Software Engineering,6 Aug 2002,1997,23,8,529,532,"Sometimes, complex software systems fail because of faults introduced in the requirements and design stages of the development process. Reviewing documents related to requirements and design by several reviewers can remove some of these faults, but often a few remain undetected until the software is developed. In this paper, we propose a procedure leading to the estimation of the number of faults which are not discovered. The main advantage of our procedure is that we do not need the standard assumption of independence among reviewers.",1939-3520,,10.1109/32.624308,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=624308,,Statistical analysis;Software design;Software systems;Smoothing methods;Software engineering;Programming;Fault detection;Inspection;Parameter estimation;Phase estimation,,31,,8,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
"Comments on ""More success and failure factors in software reuse""",M. Morisio; M. Ezran; C. Tully,"Automatica e Informatica, Politecnico di Torino, Torino, Italy; Valtech S. A., Courbevoie, France; School of Computing Science, Middlesex University, London, UK",IEEE Transactions on Software Engineering,21 May 2003,2003,29,5,478,,"For original paper see ibid., p. 474. This is a clear example of how research in software engineering can progress when empirical methods are applied. Menzies and Di Stefano apply a number of data mining tools to the data set. While, inmost cases, their results are in agreement with ours, in some cases they are not. Our first and main observation is that our interpretation of the data set is based not only on the data set itself but also on the knowledge gathered during the interviews with project members. The main problem with the data set is its size: 23 data points. Although this data set is the largest one available about reuse projects, it is too limited to base analysis only on data mining techniques; data mining is usually applied to data sets with thousands if not millions of data points.",1939-3520,,10.1109/TSE.2003.1199077,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1199077,,Data mining;Predictive models;Testing;Data analysis;Human factors;Computer Society;Software engineering;Production;Association rules,,5,,2,IEEE,21 May 2003,,,IEEE,IEEE Journals,True
Ginger2: an environment for computer-aided empirical software engineering,K. Torii; K. Matsumoto; K. Nakakoji; Y. Takada; S. Takada; K. Shima,"Graduate School of Information Science, Nara Institute of Science and Technology, Ikoma, Nara, Japan; Graduate School of Information Science, Nara Institute of Science and Technology, Ikoma, Nara, Japan; Software Engineering Laboratory, Graduate School of Information Science,Nara Institute of Science and Technology, Software Research Associates, Inc., Ikoma, Nara, Japan; Development & Production HQ, Social Systems Business Group, OMRON Corporation, Kusatsu, Shiga, Japan; Department of Information and Computer Science, Faculty of Science and Technology, Keio University, Yokohama, Japan; Graduate School of Information Science, Nara Institute of Science and Technology, Ikoma, Nara, Japan",IEEE Transactions on Software Engineering,6 Aug 2002,1999,25,4,474,492,"Empirical software engineering can be viewed as a series of actions to obtain knowledge and a better understanding about some aspects of software development, given a set of problem statements in the form of issues, questions or hypotheses. Experience has made us aware of the criticality of integrating the various types of data that are collected and analyzed as well as the criticality of integrating the various types of activities that take place, such as experiment design and the experiment itself. This has led us to develop a Computer-Aided Empirical Software Engineering (CAESE) framework to support the empirical software engineering lifecycle. The paper first presents the CAESE framework that consists of three elements: (1) a process model for the ""lifecycle"" of empirical software engineering studies, including needs analysis, experiment design, actual experimentation, and analyzing and packaging results; (2) a model that helps empirical software engineers decide how to look at the ""world"" to be studied in a coherent manner; (3) an architecture, based on which CAESE environments can be built, consisting of tool sets for each phase of the process model, a process management mechanism, and the two types of integration mechanism that are vital for handling multiple types of data: data integration and control integration. Next, the paper describes the Ginger2 environment as an instantiation of our framework. It concludes with reports on case studies using Ginger2, which dealt with a variety of empirical data types including mouse and keystrokes, eye traces, 3D movement, skin resistance level, and videotaped data.",1939-3520,,10.1109/32.799942,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=799942,,Software engineering;Programming;Software packages;Packaging;Software tools;Data engineering;Design engineering;Computer architecture;Environmental management;Engineering management,,27,,32,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
Explaining software developer acceptance of methodologies: a comparison of five theoretical models,C. K. Riemenschneider; B. C. Hardgrave; F. D. Davis,"Sam M. Walton College of Business Information Systems Department, University of Arkansas, Fayetteville, AR, USA; Sam M. Walton College of Business Information Systems Department, University of Arkansas, Fayetteville, AR, USA; Sam M. Walton College of Business Information Systems Department, University of Arkansas, Fayetteville, AR, USA",IEEE Transactions on Software Engineering,6 Jan 2003,2002,28,12,1135,1145,"Many organizations attempt to deploy methodologies intended to improve software development processes. However, resistance by individual software developers against using such methodologies often obstructs their successful deployment. To better explain why individual developers accept or resist methodologies, five theoretical models of individual intentions to accept information technology tools were examined. In a field study of 128 developers in a large organization that implemented a methodology, each model explained significant variance in developers' intentions to use the methodology. Similar to findings from the tool adoption context, we found that, if a methodology is not regarded as useful by developers, its prospects for successful deployment may be severely undermined. In contrast to the typical pattern of findings in a tool context, however, we found that methodology adoption intentions are driven by: 1) the presence of an organizational mandate to use the methodology, 2) the compatibility of the methodology with how developers perform their work, and 3) the opinions of developers' coworkers and supervisors toward using the methodology. Collectively, these results provide surprising new insights into why software developers accept or resist methodologies and suggest what software engineering managers might do to overcome developer resistance.",1939-3520,,10.1109/TSE.2002.1158287,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1158287,,Programming;Information technology;Software engineering;Productivity;Resists;Software development management;Computer Society;Engineering management;Technological innovation;Production,,160,,70,IEEE,6 Jan 2003,,,IEEE,IEEE Journals,True
A controlled experiment for evaluating quality guidelines on the maintainability of object-oriented designs,L. C. Briand; C. Bunse; J. W. Daly,"Systems and Computer Engineering, Carleton University, Ottawa, Canada; Fraunhofer Institute for Experimental Software Engineering, Kaiserslautern, Germany; Agilent Technologies, Inc., South Queensferry, UK",IEEE Transactions on Software Engineering,7 Aug 2002,2001,27,6,513,530,"The paper presents a controlled experiment, focusing on the impact of applying quality design principles such as the ones provided by P. Coad and E. Yourdon (1991) on the maintainability of object oriented designs. Results, which repeat the findings of a previous study, strongly suggest that such design principles have a beneficial effect on the maintainability of object oriented designs. It is argued that object oriented designs are sensitive to poor design practices because the cognitive complexity introduced becomes increasingly unmanageable. However, as our ability to generalize these results is limited, they should be considered as preliminary, i.e., it is very likely that they can only be generalized to programmers with little object oriented training and programming experience. Such programmers can, however, be commonly found on maintenance projects. As well as additional research, external replications of this study are required to confirm the results and achieve confidence in these findings.",1939-3520,,10.1109/32.926174,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=926174,,Guidelines;Programming profession;Software maintenance;Productivity;Software quality;Object oriented programming;Software systems;Design methodology;Entropy;Maintenance engineering,,129,,29,IEEE,7 Aug 2002,,,IEEE,IEEE Journals,True
A choice relation framework for supporting category-partition test case generation,T. Y. Chen; Pak-Lok Poon; T. H. Tse,"School of Information Technology, Swinburne University of Technology, Hawthorn, Australia; Department of Accountancy, Hong Kong Polytechnic University, Hung Hom, China; Department of Computer Science and Information Systems, University of Hong Kong, Hong Kong, China",IEEE Transactions on Software Engineering,22 Jul 2003,2003,29,7,577,593,"We describe in this paper a choice relation framework for supporting category-partition test case generation. We capture the constraints among various values (or ranges of values) of the parameters and environment conditions identified from the specification, known formally as choices. We express these constraints in terms of relations among choices and combinations of choices, known formally as test frames. We propose a theoretical backbone and techniques for consistency checks and automatic deductions of relations. Based on the theory, algorithms have been developed for generating test frames from the relations. These test frames can then be used as the basis for generating test cases. Our algorithms take into consideration the resource constraints specified by software testers, thus maintaining the effectiveness of the test frames (and hence test cases) generated.",1939-3520,,10.1109/TSE.2003.1214323,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1214323,,Computer aided software engineering;Software testing;Software maintenance;Spine;Software algorithms;Costs;Humans;Information technology;Australia;Computer science,,43,,20,IEEE,22 Jul 2003,,,IEEE,IEEE Journals,True
A theory-based representation for object-oriented domain models,S. A. DeLoach; T. C. Hartrum,"Department of Electrical and Computer Engineering AFIT/ENG, US Air Force Institute of Technology, OH, USA; Department of Electrical and Computer Engineering AFIT/ENG, US Air Force Institute of Technology, OH, USA",IEEE Transactions on Software Engineering,6 Aug 2002,2000,26,6,500,517,"Formal software specification has long been touted as a way to increase the quality and reliability of software; however, it remains an intricate, manually intensive activity. An alternative to using formal specifications directly is to translate graphically based, semiformal specifications into formal specifications. However, before this translation can take place, a formal definition of basic object oriented concepts must be found. The paper presents an algebraic model of object orientation that defines how object oriented concepts can be represented algebraically using an object oriented algebraic specification language O-SLANG. O-SLANG combines basic algebraic specification constructs with category theory operations to capture internal object class structure, as well as relationships between classes.",1939-3520,,10.1109/32.852740,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=852740,,Object oriented modeling;Formal specifications;Software quality;Software systems;Computer Society;Specification languages;Software engineering;Formal languages;Application software;Natural languages,,18,,25,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
The domain theory for requirements engineering,A. Sutcliffe; N. Maiden,"Centre for HCI Design, School of Informatics, City University, London, UK; Centre for HCI Design, School of Informatics, City University, London, UK",IEEE Transactions on Software Engineering,6 Aug 2002,1998,24,3,174,196,"Retrieval, validation, and explanation tools are described for cooperative assistance during requirements engineering and are illustrated by a library system case study. Generic models of applications are reused as templates for modeling and critiquing requirements for new applications. The validation tools depend on a matching process which takes facts describing a new application and retrieves the appropriate generic model from the system library. The algorithms of the matcher, which implement a computational theory of analogical structure matching, are described. A theory of domain knowledge is proposed to define the semantics and composition of generic domain models in the context of requirements engineering. A modeling language and a library of models arranged in families of classes are described. The models represent the basic transaction processing or 'use case' for a class of applications. Critical difference rules are given to distinguish between families and hierarchical levels. Related work and future directions of the domain theory are discussed.",1939-3520,,10.1109/32.667878,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=667878,,Libraries;Application software;Software engineering;Knowledge engineering;Context modeling;Software tools;Computer aided software engineering;Software design;Design engineering;Buildings,,63,,72,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
Categorization of common coupling and its application to the maintainability of the Linux kernel,L. Yu; S. R. Schach; K. Chen; J. Offutt,"Computer Science Department, Tennessee Technological University, Cookeville, TN, USA; Department of Electrical Engineering and Computer Science, Vanderbilt University, Nashville, TN, USA; Department of Electrical Engineering and Computer Science, Vanderbilt University, Nashville, TN, USA; Department of Information and Software Engineering, George Mason University, Fairfax, VA, USA",IEEE Transactions on Software Engineering,4 Oct 2004,2004,30,10,694,706,"Data coupling between modules, especially common coupling, has long been considered a source of concern in software design, but the issue is somewhat more complicated for products that are comprised of kernel modules together with optional nonkernel modules. This paper presents a refined categorization of common coupling based on definitions and uses between kernel and nonkernel modules and applies the categorization to a case study. Common coupling is usually avoided when possible because of the potential for introducing risky dependencies among software modules. The relative risk of these dependencies is strongly related to the specific definition-use relationships. In a previous paper, we presented results from a longitudinal analysis of multiple versions of the open-source operating system Linux. This paper applies the new common coupling categorization to version 2.4.20 of Linux, counting the number of instances of common coupling between each of the 26 kernel modules and all the other nonkernel modules. We also categorize each coupling in terms of the definition-use relationships. Results show that the Linux kernel contains a large number of common couplings of all types, raising a concern about the long-term maintainability of Linux.",1939-3520,,10.1109/TSE.2004.58,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1339279,Index Terms- Modularity;dependencies;common coupling;definition-use analysis;kernel-based software;open-source software;Linux.,Linux;Kernel;Open source software;Operating systems;Application software;Computer Society;Computer architecture;Database systems;Software design;System software,,43,,17,IEEE,4 Oct 2004,,,IEEE,IEEE Journals,True
