Institution,Count
"State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China",10
"Dept. of Computer Science, Iowa State University, Ames, IA, USA",6
"David R. Cheriton School of Computer Science, University of Waterloo, Waterloo, ON, Canada",4
"Simula Research Laboratory, Lysaker, Norway",4
"Singapore Management University, Singapore",3
"Monash University, Melbourne, Australia",3
"Purdue University, West Lafayette, USA",3
"The Chinese University of Hong Kong, Hong Kong, China",3
"Lane Department of Computer Science and Electrical Engineering, West Virginia University, Morgantown, WV, USA",3
"Department of Informatics, University of Oslo, Oslo, Norway",3
